trade_date,ts_code,name,market,exchange,industry,sig_ma,sig_macd,sig_rsi,sig_kdj,sig_boll,close,ma_bfq_5,ma_bfq_10,macd_dif_bfq,macd_dea_bfq,macd_bfq,rsi_bfq_6,rsi_bfq_12,kdj_k_bfq,kdj_d_bfq,boll_mid_bfq
20260128,603205.SH,健尔康,主板,SSE,医疗保健,1,1,1,1,1,28.36,28.794,28.626,0.155,0.169,-0.029,38.751,47.209,51.52918,57.95634,28.728
20260128,301202.SZ,朗威股份,创业板,SZSE,机械基件,1,1,1,1,1,41.92,42.836,42.909,0.601,0.711,-0.221,38.769,48.516,45.50083,52.01422,42.29
20260128,000681.SZ,视觉中国,主板,SZSE,互联网,1,1,1,1,1,26.04,27.204,28.485,0.967,1.385,-0.837,38.821,47.273,13.06136,24.46737,27.414
20260128,600769.SH,祥龙电业,主板,SSE,水务,1,1,1,1,1,12.39,12.498,12.718,-0.038,0.038,-0.153,38.847,44.733,24.29857,27.26399,12.806
20260128,300556.SZ,丝路视觉,创业板,SZSE,软件服务,1,1,1,1,1,19.74,20.142,20.173,0.153,0.187,-0.067,38.894,47.017,26.23888,33.90468,20.014
20260128,002461.SZ,珠江啤酒,主板,SZSE,啤酒,1,1,1,1,1,9.48,9.606,9.594,0.014,0.015,-0.001,38.902,45.501,46.60664,61.00925,9.52
20260128,600884.SH,杉杉股份,主板,SSE,电气设备,1,1,1,1,1,13.31,13.672,13.761,0.05,0.087,-0.074,38.923,45.182,32.36057,41.38494,13.644
20260128,301185.SZ,鸥玛软件,创业板,SZSE,软件服务,1,1,1,1,1,20.31,20.612,20.772,0.306,0.366,-0.119,38.924,49.968,19.4123,26.12486,20.368
20260128,002315.SZ,焦点科技,主板,SZSE,互联网,1,1,1,1,1,52.08,53.218,54.06,1.935,2.427,-0.985,38.941,51.327,13.93263,24.83795,52.686
20260128,301138.SZ,华研精机,创业板,SZSE,专用机械,1,1,1,1,1,40.14,42.028,42.625,0.736,0.961,-0.451,38.991,46.072,21.67662,35.40728,41.388
20260128,000716.SZ,黑芝麻,主板,SZSE,食品,1,1,1,1,1,6.28,6.352,6.436,0.004,0.023,-0.037,38.999,45.173,20.93278,32.24736,6.361
